Date Created,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day6,Day 7,Problem Type,Market
2/5/2022,8,2,1,4,4,7,3,4,1,3
1/12/2022,0,1,0,0,0,0,0,0,4,3
3/6/2022,60,5,4,2,0,8,0,0,5,3
3/10/2022,105,16,3,7,11,3,10,5,5,3
3/31/2022,11,5,1,0,0,0,0,2,1,3
3/11/2022,3,2,0,2,0,2,0,0,1,3
1/9/2022,11,0,1,0,1,0,1,2,2,3
2/21/2022,4,7,2,0,6,3,5,13,1,3
2/26/2022,7,0,2,0,0,0,0,0,3,3
2/6/2022,2,1,5,5,7,3,4,10,1,3
1/25/2022,2,0,0,0,0,0,0,0,4,3
1/24/2022,0,1,0,0,0,0,0,0,4,3
1/2/2022,2,0,0,0,0,0,0,0,3,3
2/21/2022,131,10,3,1,3,0,2,1,5,3
1/26/2022,16,7,5,4,6,8,8,4,1,3
1/10/2022,4,0,0,1,1,0,1,0,1,3
3/1/2022,51,11,8,20,9,3,4,3,5,3
3/30/2022,2,0,0,0,0,0,0,0,4,3
3/18/2022,84,6,1,5,5,11,2,4,5,3
2/28/2022,22,2,4,2,4,1,0,0,1,3
3/17/2022,12,3,0,1,2,2,1,2,3,3
2/15/2022,158,17,15,15,6,2,9,4,5,3
1/11/2022,7,2,1,2,0,0,0,0,3,3
2/12/2022,11,12,5,5,4,5,3,6,1,3
3/25/2022,18,4,2,6,1,1,6,4,1,3
1/1/2022,2,0,1,1,1,0,0,0,3,3
3/7/2022,0,0,0,0,0,0,0,0,4,3
1/29/2022,12,6,8,8,4,4,4,4,1,3
3/2/2022,16,1,1,2,0,1,0,3,3,3
1/27/2022,0,0,0,0,0,0,0,0,4,3
1/13/2022,9,3,0,1,0,0,0,0,1,3
1/17/2022,5,3,0,1,2,0,0,0,3,3
3/29/2022,38,5,1,4,0,1,0,0,2,3
3/27/2022,0,0,0,0,0,0,0,0,4,3
2/1/2022,1,0,0,0,0,0,0,0,4,3
1/12/2022,54,7,9,2,3,3,1,3,5,3
3/9/2022,105,26,16,1,6,7,5,12,5,3
3/6/2022,15,0,1,1,0,0,0,0,2,3
1/7/2022,0,0,0,1,0,0,0,0,4,3
3/12/2022,22,2,1,1,1,1,1,1,2,3
1/20/2022,64,8,3,0,1,5,1,1,5,3
3/18/2022,14,1,0,3,0,0,2,0,3,3
1/20/2022,37,2,1,0,0,1,1,1,2,3
3/17/2022,0,0,0,0,0,0,0,0,4,3
3/4/2022,2,0,0,0,0,0,0,0,4,3
3/15/2022,0,0,0,0,0,0,0,0,4,3
3/24/2022,18,4,4,2,5,2,0,6,1,3
3/22/2022,0,0,1,0,0,0,0,0,4,3
1/12/2022,50,1,1,2,0,0,0,1,2,3
1/8/2022,36,3,7,6,3,3,3,1,5,3
2/25/2022,35,0,0,1,1,1,0,0,2,3
2/13/2022,17,5,4,4,5,3,6,2,1,3
2/21/2022,0,0,0,0,0,0,0,0,4,3
3/2/2022,7,3,6,0,0,0,1,0,1,3
2/19/2022,11,2,3,7,2,0,6,3,1,3
2/25/2022,1,0,0,0,0,0,0,0,4,3
2/7/2022,19,4,0,3,3,0,0,5,3,3
3/23/2022,5,3,4,4,2,6,2,0,1,3
1/9/2022,36,8,7,3,5,3,3,1,5,3
1/3/2022,10,2,2,0,0,0,1,0,3,3
1/27/2022,68,11,8,3,8,4,4,2,5,3
1/14/2022,197,11,3,1,2,4,2,7,5,3
1/4/2022,60,4,11,6,2,1,1,2,5,3
3/1/2022,14,2,2,0,1,1,3,3,3,3
3/9/2022,4,2,1,0,0,1,0,0,1,3
2/23/2022,32,2,1,2,1,0,1,1,2,3
3/1/2022,5,3,3,6,0,0,0,0,1,3
1/14/2022,34,2,0,2,0,0,0,1,2,3
1/9/2022,4,0,1,0,1,1,0,0,1,3
3/4/2022,17,3,0,0,1,0,1,0,1,3
1/7/2022,13,0,0,1,0,1,1,1,1,3
1/2/2022,32,1,0,7,2,0,0,0,5,3
3/14/2022,48,3,1,1,0,1,1,1,2,3
3/24/2022,380,25,7,2,4,2,1,2,5,3
2/5/2022,18,2,3,2,2,3,2,1,2,3
2/12/2022,18,2,2,2,0,0,0,3,2,3
3/31/2022,1,0,0,0,0,0,0,0,4,3
1/14/2022,23,2,0,0,4,0,0,0,3,3
2/18/2022,454,29,4,15,14,10,7,3,5,3
2/27/2022,9,13,1,3,2,4,0,0,1,3
2/8/2022,68,6,15,2,0,2,2,4,5,3
3/21/2022,29,1,0,1,1,0,1,0,2,3
2/24/2022,11,1,1,0,2,3,0,1,3,3
1/21/2022,6,0,0,0,0,0,0,1,1,3
3/27/2022,5,6,1,0,7,4,0,0,1,3
3/9/2022,0,0,0,0,0,0,0,0,4,3
1/8/2022,5,0,0,0,1,1,1,0,1,3
1/19/2022,72,10,9,5,0,4,1,1,5,3
3/11/2022,73,7,6,8,7,11,12,12,5,3
2/7/2022,1,0,0,0,0,0,0,0,4,3
1/5/2022,32,1,0,1,0,0,0,0,2,3
2/19/2022,7,1,3,3,4,1,0,0,3,3
2/16/2022,8,5,3,6,2,3,7,3,1,3
2/1/2022,10,1,2,0,0,0,1,0,3,3
2/18/2022,3,0,0,0,0,0,0,1,4,3
3/25/2022,1,0,0,0,0,0,1,0,4,3
3/13/2022,1,0,0,0,0,0,0,0,4,3
3/15/2022,10,0,0,0,0,0,0,0,1,3
3/17/2022,26,5,2,0,0,0,1,1,2,3
2/12/2022,4,0,0,0,0,0,1,0,4,3
2/27/2022,6,0,0,0,0,0,0,0,3,3
2/11/2022,136,8,5,5,9,18,10,5,5,3
3/10/2022,0,0,0,0,0,0,0,0,4,3
3/8/2022,18,3,8,3,2,2,2,2,3,3
1/29/2022,0,0,0,0,0,0,0,0,4,3
3/25/2022,28,2,1,3,2,3,1,0,2,3
1/19/2022,4,0,2,0,0,0,0,0,3,3
1/17/2022,1,0,0,0,0,0,0,0,4,3
2/14/2022,9,5,4,5,4,6,2,3,1,3
2/19/2022,19,0,0,0,0,0,0,2,2,3
2/15/2022,8,4,5,3,6,2,3,7,1,3
2/12/2022,131,43,7,5,6,8,13,3,5,3
1/5/2022,1,0,0,0,0,0,0,0,4,3
1/30/2022,4,3,0,0,0,0,1,1,3,3
2/18/2022,5,6,2,4,7,2,0,6,1,3
2/7/2022,11,5,4,7,3,5,10,4,1,3
2/3/2022,7,4,5,2,1,4,4,7,1,3
1/22/2022,67,5,9,2,4,0,5,4,5,3
2/2/2022,0,0,0,0,0,0,0,1,4,3
2/16/2022,98,9,16,17,3,1,17,20,5,3
3/20/2022,6,1,0,0,0,0,0,0,1,3
3/20/2022,15,1,0,1,0,0,0,0,2,3
2/10/2022,38,2,4,6,2,2,1,2,2,3
2/11/2022,22,2,3,2,1,3,1,3,2,3
3/11/2022,23,0,1,2,2,1,1,0,2,3
2/10/2022,182,22,6,3,5,0,2,9,5,3
3/14/2022,2,0,0,0,0,0,0,0,4,3
3/28/2022,12,1,3,6,4,0,0,0,1,3
3/20/2022,46,8,3,0,1,3,0,1,5,3
3/17/2022,71,29,5,2,4,3,6,5,5,3
1/11/2022,64,9,9,8,4,4,1,1,5,3
1/20/2022,10,4,0,0,3,1,0,0,3,3
3/23/2022,28,1,0,1,1,3,0,2,2,3
2/25/2022,54,4,1,4,3,1,2,5,5,3
3/14/2022,153,27,15,9,5,0,2,2,5,3
3/3/2022,1,0,0,0,0,0,0,0,4,3
2/7/2022,200,14,6,11,1,2,1,3,5,3
2/10/2022,5,0,0,0,0,0,0,0,4,3
2/25/2022,8,3,0,0,1,1,1,1,3,3
3/7/2022,171,21,20,18,15,3,4,5,5,3
1/27/2022,13,3,4,6,8,9,4,4,1,3
1/23/2022,1,0,0,0,0,1,1,0,3,3
3/30/2022,49,6,4,2,2,2,2,4,5,3
1/13/2022,24,4,0,0,0,1,0,1,3,3
3/13/2022,42,21,6,6,4,3,1,0,5,3
3/7/2022,7,3,0,0,1,0,0,0,1,3
1/26/2022,1,0,0,0,0,0,0,0,4,3
3/19/2022,45,1,2,3,0,3,2,2,5,3
1/19/2022,0,0,0,0,0,0,0,0,4,3
3/30/2022,14,2,1,1,0,2,2,1,3,3
2/4/2022,33,0,0,5,0,0,1,3,2,3
1/29/2022,20,2,0,1,0,0,0,0,2,3
2/9/2022,2,0,0,0,0,0,0,0,4,3
3/29/2022,63,7,5,1,2,0,0,1,5,3
2/27/2022,21,1,1,0,1,0,0,1,2,3
2/4/2022,1,0,0,0,0,0,0,0,4,3
2/2/2022,10,3,2,0,1,0,1,0,3,3
3/8/2022,0,0,0,0,0,0,1,0,4,3
3/6/2022,3,0,0,0,1,0,0,0,1,3
2/28/2022,3,0,1,0,1,0,0,0,3,3
1/10/2022,21,1,0,0,0,0,1,1,2,3
1/15/2022,44,4,1,3,3,1,1,0,5,3
1/6/2022,2,0,0,0,1,0,0,0,4,3
1/10/2022,66,13,4,10,6,5,3,1,5,3
1/26/2022,240,13,108,5,2,7,12,8,5,3
2/5/2022,0,1,0,0,0,0,0,0,4,3
1/8/2022,7,0,1,0,2,0,2,1,3,3
3/1/2022,1,0,0,0,0,0,0,0,4,3
3/2/2022,0,0,0,0,0,0,0,0,4,3
1/6/2022,344,11,10,1,4,12,5,5,5,3
3/3/2022,10,4,1,0,1,2,1,0,1,3
3/5/2022,4,0,1,0,0,0,0,0,1,3
1/29/2022,3,0,1,0,0,0,0,0,3,3
2/17/2022,10,3,6,2,3,7,2,0,1,3
1/19/2022,3,1,0,1,0,0,0,0,1,3
1/31/2022,29,1,1,1,1,1,1,1,2,3
3/19/2022,4,0,0,0,0,0,0,0,3,3
1/28/2022,38,2,2,1,2,2,1,1,2,3
2/9/2022,11,0,3,1,1,3,0,0,3,3
1/5/2022,25,1,2,0,0,1,1,1,3,3
1/16/2022,34,3,2,3,1,3,1,2,5,3
1/1/2022,31,2,0,1,3,0,2,0,5,3
2/3/2022,0,0,0,0,0,0,0,0,4,3
3/21/2022,0,0,0,0,0,0,0,0,4,3
3/30/2022,4,6,4,0,0,0,0,0,1,3
2/23/2022,3,0,0,0,0,0,0,0,4,3
3/8/2022,94,19,25,15,2,3,8,2,5,3
2/27/2022,39,6,1,3,0,2,7,2,5,3
1/7/2022,75,6,3,11,7,6,6,4,5,3
3/21/2022,4,0,0,0,0,1,0,0,1,3
2/1/2022,129,15,5,8,4,2,4,6,5,3
1/17/2022,9,0,0,0,0,0,0,0,1,3
3/16/2022,186,33,20,6,4,4,7,8,5,3
1/21/2022,17,0,0,1,2,1,1,0,2,3
1/15/2022,0,0,0,0,0,0,0,0,4,3
3/2/2022,87,28,20,9,3,24,3,0,5,3
3/28/2022,40,4,1,2,2,0,0,2,2,3
1/12/2022,11,1,2,0,1,0,0,0,1,3
1/23/2022,6,6,4,9,6,3,4,6,1,3
2/13/2022,29,3,3,3,1,0,2,0,2,3
2/21/2022,38,2,1,1,1,0,0,0,2,3
3/29/2022,13,2,2,0,0,0,0,2,3,3
3/26/2022,11,3,6,2,0,7,4,0,1,3
3/5/2022,127,16,7,6,5,0,6,0,5,3
3/9/2022,13,8,4,4,2,4,8,4,3,3
2/21/2022,14,0,5,2,1,1,0,2,3,3
2/26/2022,25,0,2,1,0,0,0,0,2,3
3/7/2022,33,4,2,1,0,1,0,2,2,3
2/3/2022,30,3,2,1,2,0,1,4,2,3
2/14/2022,7,0,0,0,1,0,0,0,4,3
1/9/2022,0,1,0,0,0,0,0,0,4,3
1/16/2022,0,0,0,0,0,0,0,0,4,3
1/26/2022,12,1,0,0,0,0,0,0,3,3
1/4/2022,28,1,0,0,0,0,1,2,2,3
2/20/2022,6,3,0,6,2,0,1,0,3,3
1/6/2022,14,1,1,0,1,0,2,3,3,3
3/4/2022,24,1,1,2,0,0,2,2,2,3
2/6/2022,5,2,1,0,2,1,0,0,3,3
2/14/2022,21,3,0,1,1,0,1,0,3,3
2/28/2022,0,0,0,0,0,0,0,0,4,3
1/16/2022,5,0,0,0,0,0,0,0,1,3
3/31/2022,29,3,2,1,1,0,0,0,2,3
1/22/2022,8,5,5,4,9,6,4,4,1,3
1/22/2022,7,0,1,0,0,2,0,1,3,3
2/23/2022,259,4,2,3,2,3,7,11,5,3
3/9/2022,33,2,0,0,1,2,2,3,2,3
3/18/2022,27,2,0,3,0,2,1,0,2,3
2/11/2022,3,0,0,0,0,0,0,1,4,3
2/20/2022,27,1,0,1,1,0,1,0,2,3
2/2/2022,28,0,2,1,1,1,0,1,2,3
1/28/2022,17,0,1,1,1,2,1,1,3,3
3/11/2022,0,0,1,1,0,0,0,0,4,3
2/4/2022,8,4,2,2,4,4,7,3,1,3
2/10/2022,15,5,4,10,4,4,4,5,1,3
2/16/2022,0,0,1,0,0,0,0,0,4,3
3/28/2022,0,0,0,0,0,0,0,0,4,3
1/25/2022,6,9,6,3,4,6,9,8,1,3
1/20/2022,5,0,0,0,0,0,0,0,1,3
1/8/2022,0,0,1,0,0,0,0,0,4,3
3/13/2022,4,0,0,0,0,0,0,0,1,3
2/22/2022,14,5,0,6,3,5,12,1,1,3
3/14/2022,5,0,1,0,0,0,0,1,1,3
2/3/2022,12,1,0,0,0,1,0,0,3,3
1/1/2022,1,0,0,0,0,0,0,0,4,3
2/24/2022,23,2,1,0,0,1,1,0,2,3
3/20/2022,5,0,1,1,0,0,0,0,3,3
1/2/2022,0,0,0,0,0,0,0,0,4,3
1/11/2022,3,2,1,2,0,1,0,0,1,3
1/17/2022,40,4,1,3,0,2,0,0,2,3
3/3/2022,46,0,1,0,2,3,1,0,2,3
1/22/2022,0,0,0,0,0,0,0,0,4,3
2/26/2022,63,7,7,2,0,3,5,5,5,3
3/17/2022,4,1,0,0,0,0,0,1,1,3
1/29/2022,112,10,6,4,0,1,2,1,5,3
1/9/2022,2,1,0,2,0,1,0,0,3,3
2/17/2022,285,138,12,0,2,7,3,3,5,3
2/23/2022,14,1,0,0,0,0,0,2,3,3
1/18/2022,0,0,0,0,0,0,0,0,4,3
3/6/2022,5,3,0,0,1,1,3,2,3,3
1/31/2022,87,13,1,0,3,1,0,2,5,3
3/26/2022,0,0,0,0,0,0,0,0,4,3
1/5/2022,131,25,3,1,0,3,3,2,5,3
2/20/2022,5,3,8,3,0,6,3,5,1,3
3/3/2022,168,25,11,11,27,4,4,1,5,3
1/17/2022,58,5,5,1,7,2,0,3,5,3
1/16/2022,7,1,0,0,0,0,0,0,3,3
1/24/2022,32,0,0,1,0,0,3,1,2,3
1/2/2022,14,0,0,2,0,0,0,0,2,3
2/10/2022,8,1,0,0,3,1,3,1,3,3
2/13/2022,189,60,24,10,5,5,7,1,5,3
2/27/2022,0,0,0,0,0,0,0,0,4,3
2/4/2022,12,3,2,1,0,1,0,0,3,3
1/7/2022,9,2,0,3,1,0,2,0,3,3
1/14/2022,11,0,0,0,0,0,0,0,1,3
3/3/2022,10,1,0,1,1,1,1,4,3,3
3/22/2022,19,0,1,0,0,1,1,0,2,3
1/24/2022,8,4,9,6,4,4,7,8,1,3
2/4/2022,104,7,4,8,7,4,4,5,5,3
2/13/2022,1,1,0,0,0,1,0,0,4,3
1/11/2022,24,2,0,0,1,1,0,1,2,3
2/26/2022,7,5,14,1,3,2,5,0,1,3
1/28/2022,3,0,0,0,0,0,0,0,4,3
2/1/2022,14,5,5,5,4,2,1,4,1,3
2/6/2022,39,4,2,2,1,1,3,2,5,3
3/26/2022,55,9,12,10,2,5,2,2,5,3
2/24/2022,3,0,0,0,0,0,0,0,4,3
3/25/2022,16,3,1,4,1,1,1,0,3,3
3/18/2022,3,0,0,0,1,0,0,0,1,3
2/28/2022,37,3,1,1,0,1,0,0,2,3
2/18/2022,27,1,1,3,2,0,2,0,2,3
2/20/2022,0,0,0,0,0,0,0,0,4,3
3/21/2022,12,1,0,1,1,1,0,0,3,3
3/19/2022,0,1,0,0,0,0,0,0,1,3
1/1/2022,7,0,0,1,0,0,0,0,2,3
3/25/2022,525,13,5,9,8,2,15,1,5,3
3/24/2022,1,0,0,0,0,0,0,0,4,3
2/22/2022,41,1,1,0,1,1,1,0,2,3
2/23/2022,8,0,6,3,5,12,1,3,1,3
3/12/2022,11,4,4,5,1,0,0,0,3,3
1/24/2022,12,1,1,2,2,1,1,2,3,3
2/22/2022,2,1,0,0,0,0,0,1,4,3
3/16/2022,11,2,0,0,0,0,0,0,1,3
1/18/2022,68,5,4,2,2,2,7,1,5,3
3/29/2022,0,1,0,0,0,0,0,0,4,3
3/8/2022,6,0,1,1,1,0,0,1,1,3
1/23/2022,43,4,3,2,0,2,4,0,5,3
3/4/2022,14,2,1,1,0,5,5,5,3,3
1/28/2022,474,12,4,13,11,6,3,6,5,3
3/28/2022,24,3,4,3,1,1,0,0,3,3
3/26/2022,10,1,3,1,2,2,1,2,3,3
3/31/2022,22,1,1,0,1,0,0,1,3,3
1/15/2022,2,0,0,0,0,0,1,0,1,3
3/10/2022,14,8,3,2,2,7,3,2,3,3
1/10/2022,12,1,4,4,1,1,1,0,3,3
3/6/2022,0,0,0,0,0,0,0,0,4,3
2/19/2022,81,6,8,7,6,2,1,1,5,3
1/30/2022,0,0,0,0,0,0,0,0,4,3
3/15/2022,141,29,12,10,4,7,5,5,5,3
2/8/2022,2,0,0,0,0,0,0,0,4,3
1/31/2022,9,3,1,1,1,0,1,1,3,3
