Date Created,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Problem Type,Market
1/9/22,107,3,7,8,5,1,3,3,2,1
3/9/22,15,0,3,2,0,1,4,1,3,1
1/8/22,9,1,1,0,3,1,2,0,3,1
1/17/22,224,17,9,7,10,6,5,6,2,1
1/8/22,1,0,0,0,0,0,0,0,4,1
1/15/22,146,8,8,8,6,7,3,4,2,1
2/16/22,174,6,8,8,6,9,7,2,5,1
3/22/22,14,0,0,1,0,0,1,2,3,1
2/4/22,16,0,2,1,3,1,2,1,3,1
3/12/22,11,0,5,3,0,0,1,0,3,1
3/26/22,1,1,0,0,0,0,0,0,4,1
3/14/22,28,3,2,1,1,2,0,3,3,1
3/31/22,235,21,15,8,19,6,8,11,5,1
2/28/22,35,3,0,3,0,3,0,0,1,1
1/5/22,52,3,1,1,6,3,0,2,1,1
3/2/22,22,3,1,3,0,2,0,1,3,1
3/14/22,370,10,12,9,10,5,5,20,2,1
1/20/22,1,0,1,1,0,0,0,0,4,1
3/6/22,169,12,8,8,6,7,7,4,2,1
3/20/22,142,15,6,3,4,6,2,1,2,1
2/2/22,12,1,1,0,0,3,1,0,3,1
2/22/22,45,1,2,0,1,0,1,0,1,1
1/1/22,30,6,0,1,2,0,1,0,1,1
3/30/22,3,0,0,0,0,0,0,0,4,1
3/31/22,3,0,0,0,0,0,0,0,4,1
2/19/22,24,2,2,1,0,2,1,1,1,1
1/3/22,18,1,2,1,0,1,0,0,3,1
3/16/22,28,3,3,1,1,0,3,4,3,1
3/2/22,1,0,1,1,0,0,1,0,4,1
3/31/22,15,2,1,1,3,0,2,0,3,1
3/9/22,202,21,7,6,2,14,6,3,5,1
2/16/22,236,8,8,6,4,6,4,7,2,1
2/20/22,2,1,0,0,0,0,0,0,4,1
1/19/22,2,0,1,1,1,0,0,0,4,1
3/25/22,280,46,13,8,12,15,7,7,5,1
2/22/22,254,20,11,8,7,7,10,8,5,1
3/5/22,182,9,16,3,5,8,2,4,5,1
3/10/22,361,10,7,4,13,5,12,4,2,1
2/7/22,2,0,1,0,0,0,0,0,4,1
3/17/22,170,9,9,5,10,7,10,9,5,1
1/7/22,7,0,0,0,0,0,0,1,4,1
3/3/22,15,0,1,1,4,1,1,1,3,1
1/6/22,43,4,2,2,3,0,4,0,1,1
3/3/22,368,22,15,5,13,12,7,7,2,1
1/24/22,4,1,0,0,0,0,0,0,4,1
3/25/22,17,4,1,6,2,2,2,2,3,1
1/10/22,14,0,0,1,0,0,0,0,3,1
1/3/22,259,25,16,11,6,8,4,11,5,1
3/25/22,344,18,6,13,13,14,11,2,2,1
3/1/22,3,0,0,0,0,1,0,0,4,1
2/18/22,157,14,6,7,4,4,4,4,5,1
3/21/22,26,0,3,2,0,4,0,0,3,1
3/31/22,33,2,5,0,3,3,1,0,1,1
3/18/22,178,13,7,5,3,5,5,7,5,1
2/18/22,263,11,3,9,5,7,4,4,2,1
1/12/22,2,1,0,0,0,0,0,0,4,1
1/2/22,111,8,5,5,1,5,2,2,2,1
1/30/22,0,0,0,0,0,0,0,0,4,1
3/5/22,19,0,1,0,0,0,2,1,3,1
3/4/22,18,0,0,1,2,1,1,1,1,1
2/23/22,15,1,3,0,2,1,0,3,3,1
1/26/22,1,0,0,0,0,0,1,0,4,1
1/7/22,228,12,7,4,8,6,5,4,2,1
3/6/22,20,1,2,0,0,1,0,3,1,1
3/1/22,25,1,1,0,2,1,2,1,3,1
3/27/22,167,16,8,10,4,4,3,1,2,1
1/28/22,11,1,2,2,0,1,1,0,3,1
3/7/22,6,1,0,0,0,0,0,0,4,1
3/2/22,342,11,8,5,7,9,8,15,2,1
1/14/22,219,3,1,10,10,8,6,7,2,1
1/4/22,207,27,10,12,18,13,5,8,5,1
3/23/22,275,35,25,13,4,6,20,11,5,1
3/6/22,5,1,0,0,0,0,0,0,3,1
2/28/22,6,0,0,0,0,1,1,1,4,1
2/21/22,198,16,16,8,6,7,2,14,5,1
3/29/22,38,2,1,2,1,2,2,1,1,1
3/17/22,3,0,0,0,0,0,0,0,4,1
2/21/22,241,9,15,5,7,7,5,9,2,1
1/21/22,5,2,0,0,1,0,0,0,4,1
2/26/22,180,19,9,9,7,8,4,3,5,1
2/28/22,29,5,4,4,1,0,0,2,3,1
2/17/22,242,7,4,2,2,14,8,3,2,1
2/11/22,173,20,5,11,3,10,3,2,5,1
1/18/22,288,19,7,7,10,6,9,8,2,1
1/28/22,32,2,3,2,0,3,2,0,1,1
2/28/22,433,25,16,11,12,7,7,11,2,1
3/8/22,17,1,1,4,0,0,0,2,3,1
1/18/22,249,31,22,9,14,4,7,1,5,1
3/3/22,2,1,1,1,0,1,0,0,4,1
3/25/22,2,1,1,0,0,0,0,0,4,1
3/21/22,28,6,1,3,0,5,0,4,1,1
3/30/22,242,29,14,6,7,21,8,15,5,1
2/14/22,2,0,1,0,0,0,0,0,4,1
3/12/22,145,14,12,5,6,3,2,6,5,1
2/12/22,9,1,1,1,2,1,2,0,3,1
1/1/22,0,0,0,0,0,0,0,0,4,1
3/7/22,18,2,2,2,1,0,0,1,3,1
1/1/22,166,12,13,7,8,2,1,5,5,1
2/1/22,1,0,0,0,0,0,0,0,4,1
2/1/22,16,3,0,1,0,0,1,3,1,1
3/30/22,22,1,1,0,1,2,1,1,3,1
2/23/22,189,17,16,5,6,12,8,4,5,1
1/17/22,193,22,19,15,11,7,3,5,5,1
2/6/22,97,11,0,4,2,4,3,1,5,1
2/9/22,2,0,0,0,0,0,0,0,4,1
1/15/22,7,2,0,1,0,0,0,1,3,1
2/8/22,24,3,3,2,0,0,0,1,3,1
2/15/22,16,2,3,4,0,0,1,0,3,1
2/15/22,0,0,0,0,0,0,0,0,4,1
3/8/22,25,2,1,1,2,1,0,0,1,1
1/23/22,137,9,2,3,2,3,5,1,5,1
2/17/22,3,0,0,1,0,1,0,0,4,1
3/20/22,161,12,11,7,10,3,4,3,5,1
3/23/22,9,0,1,2,0,2,1,0,3,1
1/18/22,31,5,1,1,3,0,2,1,1,1
1/21/22,29,7,2,1,4,0,0,1,1,1
2/6/22,23,1,2,0,1,0,0,0,1,1
1/19/22,18,1,1,0,0,0,1,2,3,1
1/28/22,248,17,13,14,9,8,7,6,5,1
2/13/22,1,2,0,1,0,0,1,0,3,1
1/6/22,11,1,1,1,0,0,2,0,3,1
3/20/22,9,2,3,0,0,1,0,0,3,1
3/23/22,24,6,1,4,2,0,3,4,1,1
2/2/22,296,11,10,10,6,14,8,9,2,1
1/4/22,4,1,0,1,0,0,0,0,4,1
3/12/22,15,0,2,0,3,1,1,1,1,1
3/24/22,320,13,8,6,6,14,12,9,2,1
1/29/22,7,6,3,2,0,0,0,0,3,1
3/28/22,35,3,1,1,0,1,0,3,1,1
3/26/22,48,3,1,2,1,2,2,0,1,1
1/26/22,16,2,2,1,2,0,0,0,1,1
2/3/22,12,2,0,0,0,2,1,2,3,1
2/14/22,21,1,1,2,2,0,0,1,3,1
3/29/22,28,2,1,0,0,0,0,1,3,1
2/27/22,143,14,14,5,2,2,3,5,5,1
3/27/22,158,12,9,7,6,10,4,2,5,1
1/28/22,5,0,0,1,0,0,0,1,4,1
3/8/22,352,10,7,12,5,5,13,8,2,1
1/20/22,254,8,12,5,11,6,10,3,2,1
2/5/22,11,3,1,1,0,2,4,1,1,1
3/15/22,26,3,4,2,1,1,2,0,3,1
3/20/22,24,0,2,0,3,0,1,0,1,1
2/7/22,24,6,1,0,8,1,2,2,1,1
3/26/22,231,12,14,11,11,12,4,2,2,1
3/5/22,31,1,2,1,0,0,1,0,1,1
3/25/22,32,6,3,2,2,0,2,2,1,1
3/29/22,413,39,15,8,5,1,9,8,2,1
1/5/22,210,26,18,9,8,17,7,5,5,1
3/4/22,15,0,0,1,0,0,1,1,3,1
3/30/22,599,30,20,8,4,15,6,1,2,1
1/14/22,250,13,8,7,5,2,6,8,5,1
1/19/22,310,10,14,12,3,8,5,4,2,1
2/4/22,248,16,3,11,8,9,10,2,2,1
3/24/22,34,0,3,0,0,3,2,1,1,1
1/1/22,97,3,5,3,2,3,1,2,2,1
3/10/22,27,5,1,1,0,0,4,4,1,1
3/10/22,10,1,0,0,0,2,0,2,3,1
3/26/22,15,2,1,2,0,0,1,0,3,1
2/20/22,132,13,11,7,3,7,5,9,5,1
2/27/22,5,0,1,0,0,0,0,0,4,1
2/8/22,190,25,7,4,4,5,4,0,5,1
3/17/22,24,2,1,1,2,2,0,0,3,1
1/7/22,13,0,0,0,1,2,0,1,3,1
2/13/22,134,11,9,8,2,4,4,1,5,1
2/20/22,122,7,3,3,3,2,1,2,2,1
3/21/22,5,1,0,1,0,0,0,0,4,1
1/24/22,26,1,0,0,3,0,1,1,1,1
1/17/22,2,0,1,0,1,0,1,1,4,1
3/1/22,242,31,6,11,6,5,6,5,5,1
2/25/22,14,1,0,4,2,1,1,1,3,1
1/12/22,49,1,4,0,0,1,1,1,1,1
2/27/22,17,0,0,0,0,0,1,0,1,1
1/13/22,299,13,4,2,7,6,3,4,2,1
3/11/22,14,3,1,2,1,2,1,1,3,1
3/15/22,4,1,2,0,0,0,0,0,4,1
1/31/22,290,11,14,7,4,9,4,5,2,1
2/15/22,15,1,1,1,3,1,3,0,1,1
1/23/22,5,1,0,1,2,1,0,0,3,1
2/7/22,303,11,10,16,3,8,4,14,2,1
3/19/22,151,5,12,4,6,11,5,2,2,1
1/13/22,4,1,0,1,1,0,0,0,4,1
2/24/22,2,0,0,0,0,0,0,0,4,1
1/25/22,304,14,12,9,8,2,5,7,2,1
3/27/22,5,1,1,0,0,0,0,0,3,1
1/22/22,4,0,0,0,0,0,1,0,4,1
2/24/22,8,1,0,1,1,1,3,1,3,1
2/27/22,7,1,3,0,0,1,0,0,3,1
1/19/22,229,31,14,7,3,11,1,12,5,1
3/16/22,156,13,5,8,3,7,8,6,5,1
3/10/22,199,18,5,3,16,4,11,4,5,1
3/11/22,181,20,12,16,12,11,5,5,5,1
3/15/22,316,16,5,7,6,6,9,11,2,1
3/19/22,18,4,2,0,0,1,0,2,3,1
1/31/22,18,0,3,1,0,0,0,2,1,1
3/7/22,206,20,21,10,11,6,5,11,5,1
3/24/22,11,1,0,0,0,1,3,0,3,1
3/10/22,4,0,0,0,0,0,0,0,4,1
1/14/22,25,2,1,1,0,0,1,0,1,1
1/22/22,235,16,18,9,8,4,12,8,5,1
3/18/22,1,0,0,0,0,0,0,0,4,1
3/15/22,192,27,9,4,4,10,6,7,5,1
1/29/22,23,5,1,0,0,1,0,0,1,1
1/8/22,41,4,2,3,0,0,0,0,1,1
3/11/22,3,0,0,0,0,1,0,0,4,1
3/8/22,182,27,12,12,9,2,5,7,5,1
2/20/22,9,5,1,3,2,0,0,1,3,1
1/6/22,0,1,0,0,0,0,0,0,4,1
2/23/22,1,0,0,0,0,0,0,0,4,1
1/12/22,288,25,12,6,6,16,7,7,5,1
2/3/22,25,2,0,0,1,1,0,0,1,1
2/12/22,171,12,6,3,4,7,2,4,2,1
3/19/22,0,0,0,0,1,0,0,0,4,1
2/9/22,254,8,11,8,4,10,8,5,2,1
2/13/22,1,0,0,0,0,0,0,0,4,1
3/7/22,382,24,7,8,9,13,6,19,2,1
1/28/22,227,9,5,17,9,14,13,8,2,1
2/14/22,252,19,10,8,13,8,5,9,2,1
1/2/22,7,0,0,3,1,0,0,0,3,1
2/23/22,24,0,1,2,1,1,0,0,1,1
3/14/22,5,1,0,0,0,0,0,0,4,1
3/24/22,4,0,0,0,0,0,0,0,4,1
1/11/22,14,1,2,1,2,0,1,0,3,1
2/3/22,2,0,0,0,0,1,0,0,4,1
3/9/22,21,3,0,1,1,2,0,1,1,1
2/11/22,24,2,0,3,1,1,2,0,3,1
2/5/22,9,0,2,1,1,0,0,0,3,1
1/9/22,5,1,0,1,0,0,0,0,3,1
2/26/22,13,1,3,3,2,0,0,2,3,1
1/13/22,32,4,4,2,1,1,2,1,1,1
2/9/22,19,1,1,0,0,1,0,0,3,1
2/1/22,15,2,1,1,0,0,2,1,3,1
1/16/22,7,1,1,0,0,0,0,2,3,1
1/27/22,1,0,0,0,0,0,0,0,4,1
1/27/22,237,14,5,2,14,3,2,6,2,1
3/24/22,263,33,16,13,10,9,6,4,5,1
2/21/22,5,0,0,0,0,0,0,0,4,1
3/3/22,32,4,2,1,1,2,2,0,1,1
1/13/22,19,4,3,1,0,3,0,1,3,1
1/4/22,343,19,10,10,6,0,13,10,2,1
2/25/22,18,1,0,2,1,1,0,1,1,1
1/31/22,22,2,1,2,2,0,1,2,3,1
1/27/22,17,0,0,0,2,0,0,2,3,1
2/5/22,0,0,0,1,0,0,0,0,4,1
2/6/22,120,11,4,3,6,2,5,3,2,1
3/13/22,192,8,7,9,7,2,3,2,2,1
2/22/22,300,21,14,11,8,2,13,14,2,1
1/30/22,94,8,1,3,1,2,3,0,2,1
1/17/22,12,3,2,0,0,0,0,0,3,1
3/23/22,8,1,0,0,1,0,0,0,4,1
1/9/22,2,0,0,0,0,0,0,0,4,1
1/13/22,246,23,11,9,7,6,6,2,5,1
3/6/22,6,0,0,0,0,0,0,0,4,1
3/1/22,366,20,20,13,13,8,13,7,2,1
1/18/22,2,0,0,1,1,1,1,0,4,1
2/21/22,23,1,1,0,4,1,0,1,3,1
3/18/22,18,0,2,3,2,2,2,0,1,1
3/14/22,238,23,7,11,4,5,3,13,5,1
1/10/22,223,28,12,5,11,7,3,8,5,1
3/5/22,178,8,11,10,3,3,8,3,2,1
1/24/22,281,25,7,9,9,4,3,6,2,1
3/22/22,233,35,23,12,7,8,7,4,5,1
3/9/22,1,0,0,0,0,0,1,0,4,1
1/2/22,141,17,8,14,6,3,0,4,5,1
3/20/22,0,0,0,0,0,0,0,1,4,1
2/13/22,137,7,10,4,8,1,4,2,2,1
2/6/22,4,0,0,0,1,0,0,0,3,1
1/22/22,182,10,10,12,6,8,5,5,2,1
3/16/22,45,2,0,0,0,0,0,0,4,1
3/2/22,196,31,10,21,11,11,11,10,5,1
2/2/22,202,13,16,15,9,15,5,7,5,1
1/17/22,40,1,0,0,1,2,1,0,1,1
1/6/22,242,11,5,1,8,4,2,5,2,1
1/9/22,34,2,3,1,1,0,0,0,1,1
3/28/22,31,6,1,2,1,1,0,1,3,1
3/21/22,465,35,18,17,12,9,5,19,2,1
1/24/22,225,7,17,7,6,5,2,5,5,1
2/15/22,311,17,7,8,6,9,5,2,2,1
3/16/22,40,1,0,1,0,2,1,1,1,1
1/16/22,2,0,0,1,0,0,0,0,4,1
2/7/22,26,4,5,4,1,2,0,1,3,1
3/4/22,5,0,1,0,0,0,1,0,4,1
2/9/22,24,0,3,1,1,1,0,1,1,1
3/17/22,262,11,2,2,16,7,6,11,2,1
1/7/22,214,22,16,14,13,4,9,12,5,1
1/8/22,164,18,16,15,3,3,3,1,5,1
2/16/22,26,3,1,0,0,0,1,0,1,1
1/25/22,176,17,8,11,1,5,9,10,5,1
1/3/22,6,0,1,0,0,0,0,0,4,1
1/31/22,243,31,16,12,12,8,1,10,5,1
2/9/22,199,18,8,8,6,9,7,1,5,1
2/15/22,168,25,6,2,3,5,11,8,5,1
3/19/22,15,0,2,2,0,3,0,2,1,1
3/4/22,174,10,11,11,8,8,4,1,5,1
1/3/22,55,3,6,0,5,2,4,4,1,1
2/18/22,18,0,0,3,1,0,0,0,3,1
2/11/22,197,10,4,10,7,4,5,8,2,1
2/3/22,304,13,11,4,8,2,6,6,2,1
3/13/22,3,2,4,1,0,0,0,0,3,1
2/6/22,1,0,0,1,0,0,0,0,4,1
3/23/22,454,25,15,9,6,20,16,28,2,1
1/16/22,118,11,6,8,6,6,2,3,5,1
2/21/22,18,4,0,0,1,2,0,1,1,1
3/28/22,480,28,19,19,13,5,9,12,2,1
1/1/22,7,0,0,0,0,0,0,1,3,1
1/24/22,22,3,4,0,1,1,3,1,3,1
2/4/22,3,0,0,0,1,0,0,0,4,1
1/27/22,171,25,12,2,6,3,2,2,5,1
3/16/22,378,17,16,5,6,14,15,17,2,1
3/22/22,4,0,0,0,0,0,0,0,4,1
3/22/22,28,2,2,3,3,1,0,3,1,1
2/24/22,13,2,2,0,0,0,2,1,1,1
3/30/22,46,1,2,3,2,3,0,2,1,1
3/29/22,186,16,15,10,5,3,8,8,5,1
1/26/22,182,18,7,10,3,9,10,7,5,1
1/15/22,215,10,8,9,15,4,5,2,5,1
1/16/22,24,1,3,2,1,1,0,0,1,1
2/1/22,233,24,16,12,10,0,6,5,5,1
3/11/22,20,1,1,3,2,5,1,0,1,1
1/23/22,1,0,0,0,0,0,0,0,4,1
1/10/22,1,0,0,0,0,0,0,0,4,1
3/4/22,279,11,7,11,12,10,5,14,2,1
3/29/22,3,0,0,0,0,0,0,0,4,1
2/17/22,15,1,1,1,1,0,0,1,1,1
1/14/22,17,0,1,0,1,1,2,1,3,1
1/22/22,53,1,1,1,0,1,1,1,1,1
2/16/22,3,0,0,0,0,0,0,0,4,1
